Sectype,Security,Issue Name,Issue Desc,Issuer,Face Value,Credit Rating,Issue Date,Maturity Date,Record Date,Step up Coupons,Coupon Frequency,Next Coupon Date,Day Count Convention,Floating Benchmark,Spread over the Benchmark,Last Trade Date,Last trade price,Last Trade Value (Rs.in Lakhs),Last Trade Yield,Weighted Average Price,Weighted Average Yield,Traded Value (Rs. In Crores),ISIN
BB,ALBK19,8.45%,ALBK 8.45% 2019 (S-IX),ALLAHABAD BANK,100,,04-Aug-09,04-Aug-19,,,Yearly,04-Aug-18,ACTUALby365,,,,0,,,,,,INE428A09109
BB,ALBK19,9.23%,ALLAH BK 9.23% 2019 (S-VIII),ALLAHABAD BANK,100,,26-Mar-09,26-Mar-19,,,Yearly,26-Mar-18,ACTUALby365,,,,0,,,,,,INE428A09083
BB,ALBK24,RESET,ALLAH BK RESET 2024(S-I),ALLAHABAD BANK,100,,19-Mar-09,19-Mar-24,,,Yearly,19-Mar-18,ACTUALby365,,,,0,,,,,,INE428A09075
BB,ALBK24A,RESET,ALLAB BK RST2024(S-II),ALLAHABAD BANK,100,,18-Dec-09,18-Dec-24,,,Yearly,18-Dec-18,ACTUALby365,,,,0,,,,,,INE428A09117
BB,ALBK25,8.64%,ALLAHABAD BANK 8.64% 2025SR-II,ALLAHABAD BANK,100,,21-Dec-15,20-Dec-25,,,Yearly,21-Dec-18,ACTUALby365,,,,0,,,,,,INE428A08044
BB,ALBK25,8.78%,ALLAHABAD BK 8.78% 25S-I,ALLAHABAD BANK,100,,20-Jan-15,20-Jan-25,,,Yearly,20-Jan-18,ACTUALby365,,,,0,,,,,,INE428A08028
BB,ALBK27,8.15%,ALLAHABAD BANK 8.15% 2027 SR-3,ALLAHABAD BANK,100,,25-Jan-17,25-Jan-27,,,Yearly,25-Jan-18,ACTUALby365,,,,0,,,,,,INE428A08051
BB,ANBK18,11%,"ANDRA BK 11%2018 (I-VIII,S-G)",ANDHRA BANK,100,,10-Sep-08,10-Sep-18,,,Yearly,10-Sep-18,ACTUALby365,,,,0,,,,,,INE434A09081
BB,ANBK18,9.15%,ANDHRA BANK 9.15% 2018(S-F),ANDHRA BANK,100,,11-Jan-08,11-May-18,,,Yearly,11-May-18,ACTUALby365,,,19-Jun-09,103.2398,,,,,,INE434A09073
BB,ANBK19,8.55%,ANDHRA BNK 8.55% (ISS-VIIIS-H),ANDHRA BANK,100,,24-Dec-09,24-Dec-19,,,Yearly,24-Dec-18,ACTUALby365,,,,0,,,,,,INE434A09131
BB,ANBK21,9.35%,ANDHRA BANK 9.35% 2021,ANDHRA BANK,100,,22-Aug-14,22-Aug-21,,,Yearly,22-Aug-18,ACTUALby365,,,,0,,,,,,INE434A08018
BB,ANBK24,RESET,ANDHRA BANK RESET 2024(S-A),ANDHRA BANK,100,,25-Mar-09,25-Mar-24,,,Yearly,25-Mar-18,ACTUALby365,,,,0,,,,,,INE434A09107
