Date,Futures,Spot
24-Jun-16,31700,30736
27-Jun-16,31880,31113
28-Jun-16,31578,30771
29-Jun-16,31630,30886
30-Jun-16,31506,30606
1-Jul-16,31774,31007
4-Jul-16,32061,31158
5-Jul-16,32323,31206
7-Jul-16,32305,31728
8-Jul-16,32209,31485
11-Jul-16,32001,31255
12-Jul-16,31499,31117
13-Jul-16,31770,31027
14-Jul-16,31458,30827
15-Jul-16,31381,30922
18-Jul-16,31421,30819
19-Jul-16,31525,30966
20-Jul-16,31090,30891
21-Jul-16,31383,30732
22-Jul-16,31259,30755
25-Jul-16,31256,30703
26-Jul-16,31233,30787
27-Jul-16,31278,30743
28-Jul-16,31310,31108
29-Jul-16,31590,30960
1-Aug-16,31567,31200
2-Aug-16,31827,31401
3-Aug-16,31690,31621
4-Aug-16,31785,31425
5-Aug-16,31210,31352
8-Aug-16,31170,30883
9-Aug-16,31282,30955
10-Aug-16,31395,31162
11-Aug-16,31315,31129
12-Aug-16,31221,31004
16-Aug-16,31458,31384
17-Aug-16,31375,31255
18-Aug-16,31478,31378
19-Aug-16,31415,31333
22-Aug-16,31370,31337
23-Aug-16,31379,31378
24-Aug-16,31034,31268
25-Aug-16,30945,31125
26-Aug-16,31010,31021
29-Aug-16,31077,30955
30-Aug-16,30851,30949
31-Aug-16,30714,30808
1-Sep-16,30780,30584
2-Sep-16,30906,30673
6-Sep-16,31372,30945
7-Sep-16,31315,31207
8-Sep-16,31200,31297
9-Sep-16,31236,30945
12-Sep-16,31070,31023
14-Sep-16,31015,31045
15-Sep-16,31168,31085
16-Sep-16,31162,30889
19-Sep-16,30971,30912
20-Sep-16,30965,30979
21-Sep-16,31026,31094
22-Sep-16,31323,31281
23-Sep-16,31288,31252
26-Sep-16,31337,31319
27-Sep-16,31331,31172
28-Sep-16,30938,30932
